0,1
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.49845684,0.50154316
0.49815568,0.50184435
0.49774688,0.5022531
0.49750206,0.5024979
0.49744767,0.50255233
0.4973007,0.50269926
0.4970361,0.5029639
0.49698803,0.503012
0.49687397,0.5031261
0.49675784,0.50324214
0.49668285,0.5033172
0.4964788,0.5035212
0.49630424,0.5036958
0.49608973,0.5039103
0.495741,0.504259
0.49543187,0.5045681
0.4951692,0.5048308
0.4949612,0.50503886
0.49471486,0.50528514
0.49448153,0.5055185
0.49428514,0.5057149
0.49414256,0.50585747
0.49398544,0.5060146
0.49384433,0.50615567
0.4937047,0.5062953
0.4935658,0.50643426
0.49348584,0.5065142
0.4933803,0.5066197
0.4933084,0.50669163
0.49322668,0.5067733
0.4931365,0.5068635
0.49308974,0.50691026
0.4930157,0.50698435
0.4929617,0.5070383
0.49296096,0.50703907
0.49291384,0.5070862
0.49290162,0.5070984
0.49281338,0.50718665
0.49279746,0.50720257
0.49274746,0.5072525
0.49269238,0.5073076
0.49267653,0.5073235
0.492692,0.507308
0.4926668,0.5073332
0.49264908,0.507351
0.49257937,0.5074206
0.4925212,0.5074788
0.49253806,0.5074619
0.49249843,0.5075016
0.49248716,0.5075128
0.4924856,0.5075144
0.49248254,0.50751746
0.49246216,0.50753784
0.4924839,0.5075161
0.4925317,0.50746834
0.49253014,0.50746983
0.49256888,0.5074311
0.4925663,0.5074337
0.4925896,0.5074104
0.4925895,0.5074105
0.49257597,0.507424
0.49258363,0.50741637
0.49260744,0.5073926
0.492596,0.507404
0.49259508,0.5074049
0.49259737,0.50740266
0.49259332,0.50740665
0.49251387,0.50748616
0.49251458,0.5074854
0.4925591,0.5074409
0.4925847,0.50741535
0.49253568,0.50746435
0.4925193,0.50748074
0.49256518,0.50743484
0.49256694,0.5074331
0.4925729,0.5074271
0.49262097,0.50737906
0.4925913,0.5074087
0.49259436,0.5074057
0.49262473,0.50737524
0.49264222,0.5073578
0.4926037,0.5073963
0.49261326,0.50738674
0.49261943,0.5073806
0.49261078,0.50738925
0.49262553,0.50737447
0.49260888,0.50739115
0.49259782,0.50740224
0.49258465,0.5074154
0.492597,0.507403
0.49255797,0.50744206
0.49252886,0.5074712
0.4925329,0.5074671
0.49254435,0.50745565
0.49254924,0.50745076
