0_loss,0_accu,1_loss,1_accu
4.914141391054727e-05,1.0,5.483960558194667e-05,1.0
4.910076313535683e-05,1.0,5.487144517246634e-05,1.0
4.901949432678521e-05,1.0,5.451401011669077e-05,1.0
4.927566624246538e-05,1.0,5.423574839369394e-05,1.0
4.900202475255355e-05,1.0,5.42772795597557e-05,1.0
4.884884401690215e-05,1.0,5.424351184046827e-05,1.0
4.937699850415811e-05,1.0,5.464921559905633e-05,1.0
4.868915493716486e-05,1.0,5.467445953399874e-05,1.0
4.8787765990709886e-05,1.0,5.401126327342354e-05,1.0
4.8841295210877433e-05,1.0,5.414654879132286e-05,1.0
4.860721674049273e-05,1.0,5.395103289629333e-05,1.0
4.913960583508015e-05,1.0,5.4352072766050696e-05,1.0
4.860963599639945e-05,1.0,5.434899139800109e-05,1.0
4.873872603639029e-05,1.0,5.430989767774008e-05,1.0
4.8932044592220336e-05,1.0,5.4231149988481775e-05,1.0
4.862258356297389e-05,1.0,5.4054271458880976e-05,1.0
4.874954174738377e-05,1.0,5.4249838285613805e-05,1.0
4.864699803874828e-05,1.0,5.3889329137746245e-05,1.0
4.900043859379366e-05,1.0,5.419947046902962e-05,1.0
4.863117646891624e-05,1.0,5.3872554417466745e-05,1.0
4.8887090088101104e-05,1.0,5.4072472266852856e-05,1.0
4.9300375394523144e-05,1.0,5.4053085477789864e-05,1.0
4.862521018367261e-05,1.0,5.393659012042917e-05,1.0
4.8576741392025724e-05,1.0,5.416695785243064e-05,1.0
4.8637972213327885e-05,1.0,5.454042911878787e-05,1.0
4.884535519522615e-05,1.0,5.3832587582292035e-05,1.0
4.8600155423628166e-05,1.0,5.410482481238432e-05,1.0
4.87222641822882e-05,1.0,5.3839416068512946e-05,1.0
4.85342025058344e-05,1.0,5.372204032028094e-05,1.0
4.851646735914983e-05,1.0,5.3699990530731156e-05,1.0
4.8890829930314794e-05,1.0,5.419942317530513e-05,1.0
4.845867442782037e-05,1.0,5.392155435401946e-05,1.0
4.934420940116979e-05,1.0,5.404365583672188e-05,1.0
