0_loss,0_accu,1_loss,1_accu
7.492030817957129e-07,1.0,5.2588893595384434e-05,1.0
7.477129315702769e-07,1.0,5.2672115998575464e-05,1.0
7.487476523238001e-07,1.0,5.2554365538526326e-05,1.0
7.485509740945417e-07,1.0,5.2348419558256865e-05,1.0
7.471975891348848e-07,1.0,5.23598246218171e-05,1.0
7.466823603863304e-07,1.0,5.181924279895611e-05,1.0
7.436318583131651e-07,1.0,5.217824218561873e-05,1.0
7.476900805158948e-07,1.0,5.1840404921676964e-05,1.0
7.452959494003153e-07,1.0,5.173391764401458e-05,1.0
7.444224365826813e-07,1.0,5.167328708921559e-05,1.0
7.455192871930194e-07,1.0,5.1867347792722285e-05,1.0
7.449811505466641e-07,1.0,5.1301303756190464e-05,1.0
7.427045716212888e-07,1.0,5.138625419931486e-05,1.0
7.436733540089335e-07,1.0,5.154109749128111e-05,1.0
7.442113769684511e-07,1.0,5.1306480600032955e-05,1.0
7.467774025826657e-07,1.0,5.09896308358293e-05,1.0
7.445568144248682e-07,1.0,5.1582992455223575e-05,1.0
7.439236924255965e-07,1.0,5.1190821977797896e-05,1.0
7.4442050390644e-07,1.0,5.109283301862888e-05,1.0
7.433420705638127e-07,1.0,5.1044604333583266e-05,1.0
7.439132332365261e-07,1.0,5.087544923298992e-05,1.0
7.413202638417715e-07,1.0,5.111552673042752e-05,1.0
7.431393100887362e-07,1.0,5.080666596768424e-05,1.0
7.414112701553677e-07,1.0,5.1067709136987105e-05,1.0
7.417030474243802e-07,1.0,5.096217500977218e-05,1.0
7.415085860884574e-07,1.0,5.071683699497953e-05,1.0
7.415623599626997e-07,1.0,5.0729890062939376e-05,1.0
7.412022000607976e-07,1.0,5.0551236199680716e-05,1.0
7.411463798234763e-07,1.0,5.060862167738378e-05,1.0
7.435243105646805e-07,1.0,5.0852289859903976e-05,1.0
7.422866588058241e-07,1.0,5.0653812650125474e-05,1.0
7.4216461598553e-07,1.0,5.0565173296490684e-05,1.0
7.415644631691976e-07,1.0,5.074381624581292e-05,1.0
7.44064379887277e-07,1.0,5.064411379862577e-05,1.0
7.409125259982829e-07,1.0,5.070559200248681e-05,1.0
7.422534622492094e-07,1.0,5.070356201031245e-05,1.0
7.406124495901167e-07,1.0,5.064037395641208e-05,1.0
7.410739613078476e-07,1.0,5.0413989811204374e-05,1.0
7.431517587974668e-07,1.0,5.0911770813399926e-05,1.0
7.414671472361078e-07,1.0,5.0292150262976065e-05,1.0
7.407945759041468e-07,1.0,5.060142575530335e-05,1.0
7.457840069946542e-07,1.0,5.09261226397939e-05,1.0
7.420176189043559e-07,1.0,5.057734597357921e-05,1.0
7.412188551825238e-07,1.0,5.052941196481697e-05,1.0
7.408442570522311e-07,1.0,5.048579987487756e-05,1.0
7.422203793794324e-07,1.0,5.061205956735648e-05,1.0
7.410864100165782e-07,1.0,5.049198807682842e-05,1.0
7.403413633255695e-07,1.0,5.057392263552174e-05,1.0
7.438450211338932e-07,1.0,5.0547860155347735e-05,1.0
