0_loss,0_accu,1_loss,1_accu
0.07778175920248032,0.7464788556098938,0.04827975481748581,0.8768821954727173
0.055423151701688766,0.7605633735656738,0.024583900347352028,0.886625349521637
0.03390181437134743,0.8309859037399292,0.00976922269910574,0.9539415240287781
0.019187504425644875,0.9718309640884399,0.0029522408731281757,0.9955713152885437
0.013914047740399837,0.9718309640884399,0.001091446727514267,1.0
0.006980645004659891,0.9718309640884399,0.0005887100123800337,0.9991142749786377
0.004682238679379225,1.0,0.0004728101775981486,1.0
0.00326413381844759,1.0,0.00045410808525048196,0.9991142749786377
0.0025105199310928583,1.0,0.0003352008934598416,1.0
0.0023292694240808487,1.0,0.0002879717794712633,1.0
0.0020575535017997026,1.0,0.0002188958605984226,1.0
0.0018148929812014103,1.0,0.00019461078045424074,1.0
0.001597261754795909,1.0,0.0001316065463470295,1.0
0.0014585420722141862,1.0,0.0001021347488858737,1.0
0.0012795650400221348,1.0,7.926414400571957e-05,1.0
0.0010962864616885781,1.0,6.003293674439192e-05,1.0
0.001160500105470419,1.0,5.048044477007352e-05,1.0
0.0010077194310724735,1.0,4.541935777524486e-05,1.0
0.0009429918718524277,1.0,4.181001349934377e-05,1.0
0.0009796923259273171,1.0,4.0367376641370356e-05,1.0
0.0010818755254149437,1.0,3.828320404863916e-05,1.0
0.0009828138863667846,1.0,3.765705332625657e-05,1.0
0.0008032980840653181,1.0,3.65603445970919e-05,1.0
0.0008802249212749302,1.0,3.519793972373009e-05,1.0
0.0008281230111606419,1.0,3.455928526818752e-05,1.0
0.0007818256272003055,1.0,3.391260906937532e-05,1.0
0.0007880707271397114,1.0,3.312505941721611e-05,1.0
0.0007860772893764079,1.0,3.235937765566632e-05,1.0
0.0007851339178159833,1.0,3.232703238609247e-05,1.0
0.0007873321301303804,1.0,3.212293813703582e-05,1.0
0.0007954779430292547,1.0,3.1822586606722325e-05,1.0
0.0007415065192617476,1.0,3.101980473729782e-05,1.0
0.0007120323716662824,1.0,3.0159375455696136e-05,1.0
0.000709952088072896,1.0,2.9978489692439325e-05,1.0
0.0006931021343916655,1.0,2.9439204809023067e-05,1.0
0.0006830130005255342,1.0,2.9459100915119052e-05,1.0
0.0007210471667349339,1.0,2.9454959076247178e-05,1.0
0.0006505085038952529,1.0,2.881474392779637e-05,1.0
0.0008259241585619748,1.0,2.9034612452960573e-05,1.0
0.0006446755724027753,1.0,2.826955824275501e-05,1.0
0.0007323735626414418,1.0,2.8258244128664955e-05,1.0
0.0006914152181707323,1.0,2.830559060384985e-05,1.0
0.0007019698969088495,1.0,2.7674564989865758e-05,1.0
0.0006770079489797354,1.0,2.7619500542641617e-05,1.0
0.0006667287671007216,1.0,2.8105912861065008e-05,1.0
0.0006915631238371134,1.0,2.7398209567763843e-05,1.0
0.0006989794783294201,1.0,2.7891974241356365e-05,1.0
0.0006062946631573141,1.0,2.7278181732981466e-05,1.0
0.0006368781323544681,1.0,2.7268464691587724e-05,1.0
0.0007073826855048537,1.0,2.7269470592727885e-05,1.0
0.0006890619988553226,1.0,2.72291581495665e-05,1.0
0.0007077119662426412,1.0,2.6872708986047655e-05,1.0
0.0006308903102762997,1.0,2.6813571821548976e-05,1.0
0.0006883901078253984,1.0,2.6736257495940663e-05,1.0
0.0006013635429553688,1.0,2.682151534827426e-05,1.0
0.0006355108343996108,1.0,2.7006277377950028e-05,1.0
0.0005998530541546643,1.0,2.655835669429507e-05,1.0
0.0006521706818602979,1.0,2.6471654564375058e-05,1.0
0.0006232907180674374,1.0,2.6424639145261608e-05,1.0
0.0006362496060319245,1.0,2.7600226530921645e-05,1.0
0.0005912650376558304,1.0,2.636649696796667e-05,1.0
0.000603470194619149,1.0,2.735240377660375e-05,1.0
0.0006601147470064461,1.0,2.624936132633593e-05,1.0
0.0006309498567134142,1.0,2.6689780497690663e-05,1.0
0.0006471240776591003,1.0,2.7424672225606628e-05,1.0
0.0005492487689480186,1.0,2.649803354870528e-05,1.0
0.0005987459444440901,1.0,2.6266232453053817e-05,1.0
0.00065503956284374,1.0,2.671755828487221e-05,1.0
0.0006182958022691309,1.0,2.6685966076911427e-05,1.0
0.0006020682048983872,1.0,2.6265148335369304e-05,1.0
0.0006517561268992722,1.0,2.6253232135786675e-05,1.0
0.0006005562609061599,1.0,2.630756534927059e-05,1.0
0.0006478711147792637,1.0,2.6337669623899274e-05,1.0
0.0005578220589086413,1.0,2.6511794203543104e-05,1.0
0.0006485471385531127,1.0,2.6288955268682912e-05,1.0
0.0006029860815033317,1.0,2.7180496545042843e-05,1.0
0.0006132474518381059,1.0,2.602168569865171e-05,1.0
0.0006110494723543525,1.0,2.6362949938629754e-05,1.0
0.0005749687552452087,1.0,2.6059213269036263e-05,1.0
0.0006006829789839685,1.0,2.6032334062620066e-05,1.0
0.0005824493709951639,1.0,2.6128651370527223e-05,1.0
0.0006221398361958563,1.0,2.6558873287285678e-05,1.0
0.0005838298820890486,1.0,2.6574834919301793e-05,1.0
0.0006245053373277187,1.0,2.6637762857717462e-05,1.0
0.0006217894842848182,1.0,2.6259633159497753e-05,1.0
0.0006294893100857735,1.0,2.587227754702326e-05,1.0
0.0005804307293146849,1.0,2.646940811246168e-05,1.0
0.0006301258108578622,1.0,2.6526789952185936e-05,1.0
0.0006408728659152985,1.0,2.6272346076439135e-05,1.0
0.0006220929208211601,1.0,2.6104235075763427e-05,1.0
0.0006780756521038711,1.0,2.6234796678181738e-05,1.0
0.0006992848357185721,1.0,2.6623816665960476e-05,1.0
0.000586328562349081,1.0,2.6789743060362525e-05,1.0
0.000612725387327373,1.0,2.5935378289432265e-05,1.0
0.0005591362714767456,1.0,2.6797222744789906e-05,1.0
0.0006253838073462248,1.0,2.634075644891709e-05,1.0
0.0006388074834831059,1.0,2.6315514332964085e-05,1.0
0.0005808275891467929,1.0,2.6207782866549678e-05,1.0
0.0006446842453442514,1.0,2.600605512270704e-05,1.0
0.0005526720196940005,1.0,2.6001851438195445e-05,1.0
